year,country,Number,X,Y
2024,Spain,114744,40.4637,-3.7492
2024,USA,18760,37.0902,-95.7129
2024,Italy,12077,41.8719,12.5674
2024,Korea,6327,36.6156,127.9775
2024,Mexico,6193,23.6345,-102.5528
2024,France,6147,46.6034,1.8883
2024,Ireland,5824,53.1424,-7.6921
2024,Germany,5392,51.1657,10.4515
2024,United Kingdom,5333,55.3781,-3.436
2024,Australia,3898,-25.2744,133.7751
2024,Canada,3099,56.1304,-106.3468
2024,Brazil,2900,-14.235,-51.9253
2024,Argentina,2882,-38.4161,-63.6167
2024,Colombia,2658,4.5709,-74.2973
2024,Taiwan,2395,23.6978,120.9605
2024,Holland,2092,52.3794,4.9009
2024,China,1560,35.8617,104.1954
2024,Portugal,1560,39.3999,-8.2245
2024,Denmark,1341,56.2639,9.5018
2024,Belgium,1283,50.8503,4.3517
2024,Poland,1007,51.9194,19.1451
2024,Japan,994,36.2048,138.2529
2024,Venezuela,791,6.4238,-66.5897
2024,Phillippines,703,12.8797,121.774
2024,New Zeeland,694,-40.9006,174.886
2024,Swiss,675,46.8182,8.2275
2024,Sweden,673,60.1282,18.6435
2024,Austria,651,47.5162,14.5501
2024,South Africa,640,-30.5595,22.9375
2024,Chili,621,-35.6751,-71.543
2024,Bulgaria,600,42.7339,25.4858
2024,Hungary,588,47.1625,19.5033
2024,Puerto Rico,569,18.2208,-66.5901
2024,Uruguay,515,-32.5228,-55.7658
2024,Romania,508,45.9432,24.9668
2024,Ecuador,497,-1.8312,-78.1834
2024,Costa Rica,447,9.7489,-83.7534
2024,Paru,428,-9.19,-75.0152
2024,Croatia,424,45.1,15.2
2024,Norway,423,60.472,8.4689
2024,Singapore,407,1.3521,103.8198
2024,Republic Czech,406,49.8175,15.473
2024,Finland,325,61.9241,25.7482
2024,HOng Kong ,268,22.3193,114.1694
2024,Malaysia,264,4.2105,101.9758
2024,Indonesia,259,-0.7893,113.9213
2024,Slovenia,220,46.1511,14.9955
2024,Ukraine,208,48.3794,31.1656
2024,Russia,206,55.7558,37.6173
2024,Lithuania,195,55.1694,23.8813
2024,Guatemala,190,15.7835,-90.2308
2024,Iran,181,32.4279,53.688
2024,Slovakia,179,48.669,19.699
2024,Andorra,152,42.5078,1.5211
2024,El Salvador,136,13.7942,-88.8965
2024,Rep. Dominican,127,18.7357,-70.1627
2024,Paraguay,115,-23.4425,-58.4438
2024,Israel,103,31.9686,34.78
2023,Spain,11875,40.4637,-3.7492
2023,USA,17055,37.0902,-95.7129
2023,Italy,12871,41.8719,12.5674
2023,France,6471,46.6034,1.8883
2023,Germany,6276,51.1657,10.4515
2023,Korea,6255,36.6156,127.9775
2023,Mexico,5357,23.6345,-102.5528
2023,United Kingdom,5052,55.3781,-3.436
2023,Ireland,4222,53.1424,-7.6921
2023,Australia,3700,-25.2744,133.7751
2023,Canada,2883,56.1304,-106.3468
2023,Argentina,2798,-38.4161,-63.6167
2023,Brazil,2688,-14.235,-51.9253
2023,Colombia,2326,4.5709,-74.2973
2023,Holland,2188,52.3794,4.9009
2023,Taiwan,1639,23.6978,120.9605
2023,Portugal,1529,39.3999,-8.2245
2023,Denmark,1448,56.2639,9.5018
2023,Belgium,1251,50.8503,4.3517
2023,Indonesia,1132,-0.7893,113.9213
2023,Japan,979,36.2048,138.2529
2023,Poland,882,51.9194,19.1451
2023,Swiss,802,46.8182,8.2275
2023,Venezuela,759,6.4238,-66.5897
2023,Sweden,748,60.1282,18.6435
2023,Chili,682,-35.6751,-71.543
2023,Phillippines,659,12.8797,121.774
2023,Austria,653,47.5162,14.5501
2023,China,649,35.8617,104.1954
2023,Hungary,648,47.1625,19.5033
2023,South Africa,626,-30.5595,22.9375
2023,New Zeeland,596,-40.9006,174.886
2023,Uruguay,545,-32.5228,-55.7658
2023,Romania,517,45.9432,24.9668
2023,Puerto Rico,508,18.2208,-66.5901
2023,Bulgaria,423,42.7339,25.4858
2023,Costa Rica,399,9.185,-83.7534
2023,Norway,399,60.472,8.4689
2023,Ecuador,380,-1.8312,-78.1834
2023,Peru,368,-9.19,-75.0152
2023,Croatia,360,45.1,15.2
2023,Finland,325,61.9241,25.7482
2023,Republic Czech,324,49.8175,15.473
2023,Israel,307,31.9686,34.78
2023,Afghanistan,277,33.9391,67.7099
2023,Singapore,269,1.3521,103.8198
2023,HOng Kong ,242,22.3193,114.1694
2023,Slovenia,238,46.1511,14.9955
