id,Attractions,Type,Routes,X,Y,describe
1,Catedral de Santiago de Compostela,Cathedral,end,42.88117543,-8.544266654,聖雅各墓地，著名朝聖終點
2,Pontedeume,Town,Ingles,43.406667,-8.170833,河畔小鎮，擁有中世紀橋樑
3,Betanzos,Town,Ingles,43.279167,-8.210556,中世紀拱門與歷史教堂著名
4,Bruma,Town,Ingles,43.211,-8.372,靜謐村落，朝聖者的重要中途站
5,Ordes,Town,Ingles,43.076667,-8.407222,以農村風光和友善居民聞名
6,Sigueiro,Town,Ingles,42.9642695,-8.4439827,朝聖補給站，風景寧靜
7,A Coruna,City,Ingles,43.366667,-8.383333,海港城市，有世界遺產燈塔
8,San Sebastian,City,Norte,43.32,-1.98,知名海灘和巴斯克美食的天堂
9,Zarautz,Town,Norte,43.2863,-2.1748,適合衝浪的沙灘小鎮
10,Deba,Town,Norte,43.295278,-2.35,悠久宗教歷史的寧靜小鎮
11,Markina,Town,Norte,43.268889,-2.496389,朝聖路上的古樸文化小鎮
12,Gernika,Town,Norte,43.316667,-2.666667,歷史名城，和平象徵的橡樹聞名
13,Lezama,Town,Norte,43.274722,-2.833333,朝聖路上寧靜的鄉村停留點
14,Bilbao,City,Norte,43.256944,-2.923611,知名文化都市，有古根海姆博物館
15,Portugalete,Town,Norte,43.319444,-3.019444,有歷史吊橋連接兩岸，景色優美
16,Castro Urdiales,Town,Norte,43.384444,-3.215,漁港小鎮，中世紀城堡與教堂著名
17,Laredo,Town,Norte,43.414444,-3.41,長沙灘與歷史老城的結合
18,Noja,Town,Norte,43.481389,-3.518611,迷人海岸與自然公園，適合徒步
19,Santander,City,Norte,43.462778,-3.805,海濱城市，有美麗海灘與宮殿景觀
20,Santillana del Mar,Town,Norte,43.393333,-4.104722,中世紀保存完好的石板小鎮
21,Comillas,Town,Norte,43.386944,-4.289444,高第設計建築與壯麗海景融合
22,Unquera,Town,Norte,43.3740432,-4.5157175,靠近自然保護區的小鎮，適合遠足
23,Llanes,Town,Norte,43.4211483,-4.7562159,海岸線與歷史街道結合的魅力小鎮
24,Ribadesella,Town,Norte,43.4625,-5.058333,河口小鎮，有史前洞穴壁畫
25,Colunga,Town,Norte,43.486111,-5.270278,朝聖路上的風景優美村莊
26,Villaviciosa,Town,Norte,43.483333,-5.433333,蘋果酒產地，鄉村風情濃厚
27,Gijon,City,Norte,43.533333,-5.7,濱海城市，羅馬遺跡與文化活動中心
28,Aviles,City,Norte,43.556111,-5.908333,有美麗古城區與現代藝術建築
29,Cudillero,Town,Norte,43.56,-6.15,彩色漁村，港口風光迷人
30,Luarca,Town,Norte,43.542222,-6.535833,白色建築與壯麗海景結合的小鎮
31,Navia,Town,Norte,43.5392,-6.7236,海岸村莊，著名的衝浪與徒步景點
32,Ribadeo,Town,Norte,43.533611,-7.040278,河口城市，壯觀海灘與拱門岩石聞名
33,Lourenza,Town,Norte,43.4333,-7.2167,有中世紀修道院與安靜鄉村景色
34,Mondonedo,Town,Norte,43.428056,-7.362778,哥德式大教堂與中世紀街區聞名
35,Abadin,Town,Norte,43.366667,-7.483333,寧靜村莊，朝聖者路途的重要停留點
36,Vilalba,Town,Norte,43.3,-7.683333,有保存完好的中世紀塔樓與文化遺跡
37,Baamonde,Town,Norte,43.17622108,-7.756884195,有著石雕藝術與自然美景的村莊
38,Arzua,Town,Norte,42.933333,-8.166667,以傳統乳酪與朝聖氛圍聞名的小鎮
39,Oviedo,City,Primitivo,43.3625,-5.8503,哥德式大教堂與世界遺產建築聚集地
40,Salas,Town,Primitivo,42.933333,-8.166667,有中世紀塔樓與古老教堂的小鎮
